No,Nama,LLDikti
262,Akademi Kebidanan Pondok Pesantren Assanadiyah,
263,Akademi Kebidanan Prima Husada,
264,Akademi Kebidanan Prima Indonesia,4.0
265,Akademi Kebidanan Prima Sengkang,9.0
266,Akademi Kebidanan Public Health Medical Nursing Meulaboh,
267,Akademi Kebidanan Putra Jaya Mandiri Batam,
268,Akademi Kebidanan Putri Bangsa Pariaman,
269,Akademi Kebidanan Rangga Husada Prabumulih,
270,Akademi Kebidanan Reformasi,
271,Akademi Kebidanan Respati,4.0
272,Akademi Kebidanan Rizki Patya,
273,Akademi Kebidanan Rspad Gatot Soebroto,3.0
274,Akademi Kebidanan Saleha,
275,Akademi Kebidanan Salma,
276,Akademi Kebidanan Sandi Karsa,9.0
277,Akademi Kebidanan Sari Mutiara Medan,1.0
278,Akademi Kebidanan Sayid Sabiq Indramayu,
279,Akademi Kebidanan Sehat Medan,
280,Akademi Kebidanan Sehati,
281,Akademi Kebidanan Sempena Negeri Pekanbaru,
282,Akademi Kebidanan Sentra Bina Yudhistira Tangerang,
283,Akademi Kebidanan Sentral,
284,Akademi Kebidanan Sifra Husada,
285,Akademi Kebidanan Sinar Kasih Toraja,
286,Akademi Kebidanan Singkawang,
287,Akademi Kebidanan Sismadi,
288,Akademi Kebidanan Siti Fatimah,6.0
289,Akademi Kebidanan St. Benedicta Pontianak,11.0
290,Akademi Kebidanan Sukawati Lawang,
291,Akademi Kebidanan Surya Mandiri Kota Bima,
292,Akademi Kebidanan Tahirah Al Baeti Bulukumba,
293,Akademi Kebidanan Tarutung Pemkab Tapanuli Utara,
294,Akademi Kebidanan Tiara Bunda,
295,Akademi Kebidanan Trinita Manado,
296,Akademi Kebidanan Tunas Harapan Bangsa,
297,Akademi Kebidanan Umi Bagan Batu,
298,Akademi Kebidanan Ummi Khasanah,5.0
299,Akademi Kebidanan Wahana Husada Bandar Jaya,2.0
300,Akademi Kebidanan Wijaya Husada,4.0
301,Akademi Kebidanan Wira Buana Metro,
302,Akademi Kebidanan Wira Husada Nusantara,7.0
303,Akademi Kebidanan Wiyata Mitra Husada Nganjuk,
304,Akademi Kebidanan Yaleka Maro Merauke,
305,Akademi Kebidanan Yapkesbi Banjarbaru,11.0
306,Akademi Kebidanan Yapma Makassar,
307,Akademi Kebidanan Yappi Sragen,6.0
308,Akademi Kebidanan Yaspen Tugu Ibu,
309,Akademi Kebidanan Yayasan Kesehatan Nasional,9.0
310,Akademi Kebidanan Yayasan Pendidikan Mona,13.0
311,Akademi Kebidanan Yayasan Rumah Sakit Jakarta,
312,Akademi Kebidanan Ypdr,
313,Akademi Kebidanan Ypsdmi,
314,Akademi Kelautan Banyuwangi,7.0
315,Akademi Keperawatan Abulyatama,
316,Akademi Keperawatan Aisyiyah Padang,10.0
317,Akademi Keperawatan Al Hikmah,
318,Akademi Keperawatan Al-Ikhlas Cisarua,
319,Akademi Keperawatan Alkautsar Temanggung,
320,Akademi Keperawatan Al-Ma Arif,
321,Akademi Keperawatan Andakara,
322,Akademi Keperawatan Andalusia Jakarta,
323,Akademi Keperawatan Antariksa,
324,Akademi Keperawatan Arta Kabanjahe,1.0
325,Akademi Keperawatan As-Syafi`Iyah,3.0
326,Akademi Keperawatan Bahrul Ulum Jombang,
327,Akademi Keperawatan Baitul Hikmah,
328,Akademi Keperawatan Baiturrahmah Padang,10.0
329,Akademi Keperawatan Bala Keselamatan,16.0
330,Akademi Keperawatan Baramuli,16.0
331,Akademi Keperawatan Batari Toja,
332,Akademi Keperawatan Berkala Widya Husada,
333,Akademi Keperawatan Bethesda Serukam,
334,Akademi Keperawatan Bethesda Tomohon,
335,Akademi Keperawatan Bhakti Husada Cikarang,
336,Akademi Keperawatan Bidara Mukti,
337,Akademi Keperawatan Bina Husada Tebing Tinggi,
338,Akademi Keperawatan Bina Insan Jakarta,3.0
339,Akademi Keperawatan Bina Insani Sakti,10.0
340,Akademi Keperawatan Binalita Sudama,
341,Akademi Keperawatan Bunda Delima,
342,Akademi Keperawatan Buntet Pesantren,4.0
343,Akademi Keperawatan Columbia Asia,
344,Akademi Keperawatan Darmo Medan,1.0
345,Akademi Keperawatan Deli Husada Delitua Medan,1.0
346,Akademi Keperawatan Dharma Husada,
347,Akademi Keperawatan Dharma Husada Cirebon,
348,Akademi Keperawatan Dharma Husada Pekanbaru,10.0
349,Akademi Keperawatan Dharma Insan Pontianak,
350,Akademi Keperawatan Dharma Wacana Metro,
351,Akademi Keperawatan Dian Husada,
352,Akademi Keperawatan Dr. Soedono Provinsi Jawa Timur,
353,Akademi Keperawatan Fatima Pare-Pare,
354,Akademi Keperawatan Fatmawati,3.0
355,Akademi Keperawatan Garuda Putih Jambi,
356,Akademi Keperawatan Giri Satria Husada,
357,Akademi Keperawatan Gita Matura Abadi Kisaran,1.0
358,Akademi Keperawatan Gunung Maria,
359,Akademi Keperawatan Hang Tuah Jakarta,
360,Akademi Keperawatan Harapan Mama Deli Serdang,
361,Akademi Keperawatan Harum,3.0
362,Akademi Keperawatan Helvetia,
363,Akademi Keperawatan Husada Karya Jaya,3.0
364,Akademi Keperawatan Ibnu Sina Kota Sabang,13.0
365,Akademi Keperawatan Insan Husada Surakarta,
